29/08 08:41:18:033 OSA Callback started
29/08 08:41:20:344 Starting process session
29/08 08:41:20:889 Total 0 instances are started
29/08 08:41:20:896 Total 1 instances are added
29/08 08:41:22:981 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.31:7676]. - cause: java.net.ConnectException: Connection refused: connect
29/08 08:41:22:982 Consumer was closed, reconnect.
29/08 09:36:19:705 Local queue size: 0
29/08 09:36:29:706 Local queue size: 0
29/08 09:36:39:761 Local queue size: 0
29/08 09:36:49:771 Local queue size: 0
29/08 09:36:59:783 Local queue size: 0
29/08 09:37:09:802 Local queue size: 0
29/08 09:37:19:896 Local queue size: 0
29/08 09:37:29:900 Local queue size: 0
29/08 09:37:39:902 Local queue size: 0
29/08 09:37:49:903 Local queue size: 0
29/08 09:37:59:911 Local queue size: 0
29/08 09:38:10:011 Local queue size: 0
29/08 09:38:20:013 Local queue size: 0
29/08 09:38:30:015 Local queue size: 0
29/08 09:38:40:016 Local queue size: 0
29/08 09:38:50:019 Local queue size: 0
29/08 09:39:00:021 Local queue size: 0
29/08 09:39:10:027 Local queue size: 0
29/08 09:39:20:031 Local queue size: 0
29/08 09:39:30:032 Local queue size: 0
29/08 09:39:40:043 Local queue size: 0
29/08 09:39:50:127 Local queue size: 0
29/08 09:40:00:132 Local queue size: 0
29/08 09:40:10:134 Local queue size: 0
29/08 09:40:20:155 Local queue size: 0
29/08 09:40:30:164 Local queue size: 0
29/08 09:40:40:167 Local queue size: 0
29/08 09:40:50:182 Local queue size: 0
29/08 09:41:00:209 Local queue size: 0
29/08 09:41:10:225 Local queue size: 0
29/08 09:41:20:226 Local queue size: 0
29/08 09:41:30:229 Local queue size: 0
29/08 09:41:40:234 Local queue size: 0
29/08 09:41:50:303 Local queue size: 0
29/08 09:42:00:304 Local queue size: 0
29/08 09:42:10:305 Local queue size: 0
29/08 09:42:20:307 Local queue size: 0
29/08 09:42:30:334 Local queue size: 0
29/08 09:42:40:347 Local queue size: 0
29/08 09:42:50:356 Local queue size: 0
29/08 09:43:00:372 Local queue size: 0
29/08 09:43:10:423 Local queue size: 0
29/08 09:43:20:426 Local queue size: 0
29/08 09:43:30:428 Local queue size: 0
29/08 09:43:40:431 Local queue size: 0
29/08 09:43:50:481 Local queue size: 0
29/08 09:44:00:482 Local queue size: 0
29/08 09:44:10:488 Local queue size: 0
29/08 09:44:20:490 Local queue size: 0
29/08 09:44:30:557 Local queue size: 0
29/08 09:44:40:569 Local queue size: 0
29/08 09:44:50:573 Local queue size: 0
29/08 09:45:00:574 Local queue size: 0
29/08 09:45:10:586 Local queue size: 0
29/08 09:45:20:592 Local queue size: 0
29/08 09:45:30:596 Local queue size: 0
29/08 09:45:40:601 Local queue size: 0
29/08 09:45:50:664 Local queue size: 0
29/08 09:46:00:675 Local queue size: 0
29/08 09:46:10:686 Local queue size: 0
29/08 09:46:20:696 Local queue size: 0
29/08 09:46:30:700 Local queue size: 0
29/08 09:46:40:702 Local queue size: 0
29/08 09:46:50:707 Local queue size: 0
29/08 09:47:00:709 Local queue size: 0
29/08 09:47:10:723 Local queue size: 0
29/08 09:47:20:736 Local queue size: 0
29/08 09:47:30:741 Local queue size: 0
29/08 09:47:40:761 Local queue size: 0
29/08 09:47:50:766 Local queue size: 0
29/08 09:48:00:814 Local queue size: 0
29/08 09:48:15:689 OSA Callback started
29/08 09:48:18:064 Starting process session
29/08 09:48:18:659 Total 0 instances are started
29/08 09:48:18:661 Total 1 instances are added
29/08 09:48:28:848 Local queue size: 0
29/08 09:48:38:882 Local queue size: 0
29/08 09:48:48:895 Local queue size: 0
29/08 09:48:58:985 Local queue size: 0
29/08 09:49:32:563 OSA Callback started
29/08 09:49:33:285 Starting process session
29/08 09:49:33:402 Total 0 instances are started
29/08 09:49:33:402 Total 1 instances are added
29/08 09:49:43:516 Local queue size: 0
29/08 09:49:53:591 Local queue size: 0
29/08 09:50:03:608 Local queue size: 0
29/08 09:50:13:615 Local queue size: 0
29/08 09:50:23:645 Local queue size: 0
29/08 09:50:33:665 Local queue size: 0
29/08 09:50:43:690 Local queue size: 0
29/08 09:50:53:695 Local queue size: 0
29/08 09:51:03:709 Local queue size: 0
29/08 09:51:13:710 Local queue size: 0
29/08 09:51:23:797 Local queue size: 0
29/08 09:51:33:800 Local queue size: 0
29/08 09:51:43:803 Local queue size: 0
29/08 09:51:53:872 Local queue size: 0
29/08 09:52:03:873 Local queue size: 0
29/08 09:52:13:884 Local queue size: 0
29/08 09:52:23:907 Local queue size: 0
29/08 09:52:33:928 Local queue size: 0
29/08 09:52:43:929 Local queue size: 0
29/08 09:52:53:946 Local queue size: 0
29/08 09:53:03:949 Local queue size: 0
29/08 09:53:14:024 Local queue size: 0
29/08 09:53:24:026 Local queue size: 0
29/08 09:53:34:037 Local queue size: 0
29/08 09:53:44:045 Local queue size: 0
29/08 09:53:54:055 Local queue size: 0
29/08 09:54:04:126 Local queue size: 0
29/08 09:54:14:128 Local queue size: 0
29/08 09:54:24:137 Local queue size: 0
29/08 09:54:34:148 Local queue size: 0
29/08 09:54:44:175 Local queue size: 0
29/08 09:54:54:177 Local queue size: 0
29/08 09:55:04:189 Local queue size: 0
29/08 09:55:14:194 Local queue size: 0
29/08 09:55:24:199 Local queue size: 0
29/08 09:55:34:201 Local queue size: 0
29/08 09:55:44:211 Local queue size: 0
29/08 09:55:54:309 Local queue size: 0
29/08 09:56:04:314 Local queue size: 0
29/08 09:56:14:323 Local queue size: 0
29/08 10:15:29:494 OSA Callback started
29/08 10:15:30:914 Starting process session
29/08 10:15:31:033 Total 0 instances are started
29/08 10:15:31:033 Total 1 instances are added
29/08 10:15:41:176 Local queue size: 0
29/08 10:15:51:184 Local queue size: 0
29/08 10:16:01:186 Local queue size: 0
29/08 10:16:11:202 Local queue size: 0
29/08 10:16:21:206 Local queue size: 0
29/08 10:16:31:217 Local queue size: 0
29/08 10:16:41:257 Local queue size: 0
29/08 10:16:51:291 Local queue size: 0
29/08 10:17:01:308 Local queue size: 0
29/08 10:17:11:399 Local queue size: 0
29/08 10:17:21:415 Local queue size: 0
29/08 10:17:31:424 Local queue size: 0
29/08 10:17:41:428 Local queue size: 0
29/08 10:17:51:489 Local queue size: 0
29/08 10:18:01:496 Local queue size: 0
29/08 10:18:11:498 Local queue size: 0
29/08 10:18:21:500 Local queue size: 0
29/08 10:18:31:553 Local queue size: 0
29/08 10:18:41:570 Local queue size: 0
29/08 10:18:51:572 Local queue size: 0
29/08 10:19:01:597 Local queue size: 0
29/08 10:19:11:652 Local queue size: 0
29/08 10:19:21:661 Local queue size: 0
29/08 10:19:31:677 Local queue size: 0
29/08 10:19:41:734 Local queue size: 0
29/08 10:19:51:739 Local queue size: 0
29/08 10:20:01:750 Local queue size: 0
29/08 10:20:11:791 Local queue size: 0
29/08 10:20:21:821 Local queue size: 0
29/08 10:20:31:855 Local queue size: 0
29/08 10:20:41:880 Local queue size: 0
29/08 10:20:51:887 Local queue size: 0
29/08 10:21:01:920 Local queue size: 0
29/08 10:21:11:925 Local queue size: 0
29/08 10:21:21:937 Local queue size: 0
29/08 10:21:31:944 Local queue size: 0
29/08 10:21:41:986 Local queue size: 0
29/08 10:21:51:994 Local queue size: 0
29/08 10:22:02:021 Local queue size: 0
29/08 10:22:12:049 Local queue size: 0
29/08 10:22:22:052 Local queue size: 0
29/08 10:22:32:054 Local queue size: 0
29/08 10:22:42:080 Local queue size: 0
29/08 10:22:52:133 Local queue size: 0
29/08 10:23:02:138 Local queue size: 0
29/08 10:23:12:145 Local queue size: 0
29/08 10:23:22:157 Local queue size: 0
29/08 10:23:32:195 Local queue size: 0
29/08 10:23:42:202 Local queue size: 0
29/08 10:23:52:210 Local queue size: 0
29/08 10:24:02:218 Local queue size: 0
29/08 10:24:12:220 Local queue size: 0
29/08 10:24:22:313 Local queue size: 0
29/08 10:24:32:318 Local queue size: 0
29/08 10:24:42:326 Local queue size: 0
29/08 10:24:52:331 Local queue size: 0
29/08 10:25:02:373 Local queue size: 0
29/08 10:25:12:375 Local queue size: 0
29/08 10:25:22:402 Local queue size: 0
29/08 10:25:32:403 Local queue size: 0
29/08 10:25:42:405 Local queue size: 0
29/08 10:25:52:453 Local queue size: 0
29/08 10:26:02:455 Local queue size: 0
