18/09 08:32:45:082 Command Routing started
18/09 08:32:45:105 Starting process session
18/09 08:32:47:038 Total 0 instances are started
18/09 08:32:47:039 Total 1 instances are added
18/09 08:33:13:888 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.89:7676]. - cause: java.net.ConnectException: Connection timed out: connect
18/09 08:33:13:889 Consumer was closed, reconnect.
18/09 08:33:13:993 Total 0 instances are started
18/09 08:33:13:994 Total 1 instances are added
18/09 08:34:26:996 Command Routing started
18/09 08:34:27:023 Starting process session
18/09 08:34:27:146 Total 0 instances are started
18/09 08:34:27:148 Total 1 instances are added
18/09 08:34:32:099 Close queue connection pool.
18/09 08:34:32:117 End of process session
18/09 08:34:32:180 Command Routing stopped
18/09 08:34:34:019 Command Routing started
18/09 08:34:34:043 Starting process session
18/09 08:34:34:159 Total 0 instances are started
18/09 08:34:34:160 Total 1 instances are added
18/09 08:35:08:217 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:218 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:219 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:220 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:221 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:222 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:223 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:224 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:225 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:226 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:227 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:228 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:229 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:231 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:233 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:234 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:235 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:236 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:237 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:238 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:238 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:239 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:240 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:241 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:243 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:244 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:245 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:246 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:247 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:248 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:249 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:251 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:252 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:253 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:255 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:256 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:257 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:258 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:260 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:261 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:262 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:265 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:266 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:267 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:268 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:269 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:270 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:271 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:272 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:273 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:274 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:275 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:276 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:08:277 84922000514: SMSC - SMSC.SEND_SMS
