11/09 09:35:50:065 Command Logs started
11/09 09:35:50:180 Starting process session
11/09 09:35:50:571 Total 0 instances are started
11/09 09:35:50:572 Total 1 instances are added
11/09 09:36:30:631 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:36:30:632 Consumer was closed, reconnect.
11/09 09:36:30:736 Total 0 instances are started
11/09 09:36:30:737 Total 1 instances are added
11/09 09:36:51:808 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:36:51:809 Consumer was closed, reconnect.
11/09 09:36:51:912 Total 0 instances are started
11/09 09:36:51:913 Total 1 instances are added
11/09 09:37:12:939 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.65:7676]. - cause: java.net.ConnectException: Connection timed out: connect
11/09 09:37:12:939 Consumer was closed, reconnect.
11/09 09:37:13:044 Total 0 instances are started
11/09 09:37:13:045 Total 1 instances are added
11/09 09:38:09:375 Command Logs started
11/09 09:38:09:784 Starting process session
11/09 09:38:09:892 Total 0 instances are started
11/09 09:38:09:893 Total 1 instances are added
11/09 10:02:18:772 0 records were writen to database.
11/09 10:02:28:783 0 records were writen to database.
11/09 10:02:38:840 1 records were writen to database.
11/09 10:02:48:847 0 records were writen to database.
11/09 10:02:58:852 0 records were writen to database.
11/09 10:03:08:858 0 records were writen to database.
11/09 10:03:18:868 0 records were writen to database.
11/09 10:03:28:873 0 records were writen to database.
11/09 10:03:38:878 0 records were writen to database.
11/09 10:03:48:881 0 records were writen to database.
11/09 10:03:58:888 0 records were writen to database.
11/09 10:04:08:890 0 records were writen to database.
11/09 10:04:18:896 0 records were writen to database.
11/09 10:04:28:898 0 records were writen to database.
11/09 10:04:38:901 0 records were writen to database.
11/09 10:04:48:907 0 records were writen to database.
11/09 10:04:58:913 0 records were writen to database.
11/09 10:05:08:924 0 records were writen to database.
11/09 10:05:18:927 0 records were writen to database.
11/09 10:05:28:938 0 records were writen to database.
11/09 10:05:38:941 0 records were writen to database.
11/09 10:05:48:952 0 records were writen to database.
11/09 10:05:58:962 0 records were writen to database.
11/09 10:06:08:964 0 records were writen to database.
11/09 10:06:18:969 0 records were writen to database.
11/09 10:06:28:973 0 records were writen to database.
11/09 10:06:38:983 0 records were writen to database.
11/09 10:06:48:988 0 records were writen to database.
11/09 10:06:58:992 0 records were writen to database.
11/09 10:07:08:998 0 records were writen to database.
11/09 10:07:19:009 0 records were writen to database.
11/09 10:07:29:012 0 records were writen to database.
11/09 10:07:39:022 0 records were writen to database.
11/09 10:07:49:029 0 records were writen to database.
11/09 10:07:59:034 0 records were writen to database.
11/09 10:08:09:039 0 records were writen to database.
11/09 10:08:19:047 0 records were writen to database.
11/09 10:08:29:049 0 records were writen to database.
